,title
0,"'개미들의 반란' 게임스톱, 주가 롤러코스터…44% 폭락 마감(종합)"
1,'개미들의 반란' 게임스톱 주가 44% 폭락...미 정치권 '공매도 논란' 가세
2,"AT&T, 매출 성장률 1% 내외…주가 부진 전망"
3,"""네이버, 생태계 확장 중…목표주가 41만원"""
4,'개미들의 반란' 게임스톱 주가 롤러코스터…장중 한때 60% 폭락
5,"애플·페이스북, 사상최대 실적에도 주가는 '비실'"
6,"유병재, 주가 하락에 분노 '폭발'"
7,[팩트파인더] 이재용 구속되면 삼성전자 주가 폭락한다? 아니다
8,분노한 개미들 다시 결집했다…게임스탑 주가 68% 폭등(상보)
9,'동학개미 덕분' 증권株 4분기 실적 기대 '高高'…목표주가도↑
10,"삼성전자, 4거래일 연속 하락세…그러나 목표주가 12만원?[株포트라이트]"
11,[그래픽] 게임스톱 주가 추이
12,[몸살 앓는 금융上] 배당제한에 은행주가도 '뚝'
13,"[2021 주식시장 전망] KB금융 주가, 약세 출발 후 반등 기대"
14,‘창사 첫 흑자’ 낸 테슬라…왜 주가는 내려갈까
15,'게임스톱' 막았더니...美 '뉴컨셉에너지' 주가 10배 가까이 폭등
16,'조카의 난' 금호석유 주가 23% 급등
17,해외실적 부풀려 불법대출·주가조작… 관세청에 덜미
18,"게임스톱 주가 급등 논란 확산…미 당국 ""상황 모니터링"""
19,'동학개미 덕분' 증권株 4분기 실적 기대 '高高'…목표주가도↑
20,배상면주가 고창 ‘복분자음’ 미국 수출…총 1억원 규모
21,미 개미의 반란? 게임스톱 등 주가 급등에 우려 시선도 커(종합)
22,'700% 오른 테슬라 주가의 힘'...머스크 연봉 7.7조원 예상
23,"애플 3%대 하락에도…""성장 가능성"" 목표주가 더 올린 월가"
24,"GC녹십자랩셀 녹십자홀딩스 주가 초반 상승, 2조 규모 기술수출"
25,공매도는 정말 주가 하락의 원흉일까
26,"빅히트, 기업 가치 '+10조'…목표주가 35만…이베스트투자證"
27,롤러코스터 ‘게임스탑’ 주가에 백악관도 “예의 주시”…월가에 무슨일이?
28,미 증시 ‘공매도와 개미들의 전쟁’…‘게임스톱’ 주가 폭등락 사태 ‘확전’
29,[표]일본 주요기업 주가(1/29)
30,"하나금융 ""LG상사, 목표주가 3만2000원, 매수"""
31,"창사 이래 첫 연간 흑자 낸 테슬라, 주가는 4% 급락 왜?"
32,"SK이노베이션, 실적 부진에도 '장중 주가 급등'...왜?"
33,"로빈후드 거래 제한에 게임스탑 주가 44% 폭락…머스크 ""공매도는 사기"""
34,"개인vs기관…‘게임팩’ 팔던 게임스탑, 642% 주가 급등 배경은?"
35,[그래픽] 게임스톱 주가 추이
36,주가 급락에 ‘빚투’도 진정세 3일새 4000억 감소
37,"애플과 충돌 앞둔 페이스북, 실적 상승에도 주가 하락"
38,"국민연금, 주가 상승에 '대박'…58조원 벌었다"
39,망해가던 게임 판매점 주가 120배 업? 게임스탑은 왜 ‘떡상’했나
40,게임스탑 주가 급등에 '레딧 부자' 3명 탄생
41,'개미 매수 차단' 게임스톱 주가 44% 폭락... 미 정치권 '기울어진 운동장' 비판
42,머스크가 한마디 하면... 트윗에 언급된 미 머니게임 종목 주가 급등
43,"[클릭 e종목]""금호석유, 경영권 분쟁 가능성에 주가 변동성 확대"""
44,"은행들, 배당성향 20% 이내로 낮추라는 당국…주가 흔들릴까"
45,코로나19로 매장 지속 폐쇄하는 '게임스탑' 주가 92% 폭등...왜?
46,미국 개미 공매도와 전쟁중 ‘게임스탑’ 주가…머스크 트윗에 또
47,"""쌀 때 사자""…발 묶인 여행사 주가는 '훨훨'"
48,반도체 수급난에 전세계 주식 들썩…닌텐도 주가도 뚝
49,"핑거 상장 첫 날 주가 초반 뛰어, 공모가보다 125% 높아"
50,공매도 세력 물리친 '미국 개미들'...'게임스톱' 주가 올들어 345% 폭등
51,"외국인 매도, 내려앉은 주가, 제약바이오도 유탄?"
52,[투자노트] 넷플릭스가 일본 주식 주가를 올린다고?
53,"LG이노텍, '깜짝 실적' 업고 주가 급등"
54,[특징주] ‘어닝서프라이즈’ 오스템임플란트…주가 22%↑
55,"테슬라, 7900억원대 첫 연간 흑자 기록...주가는 하락"
56,"테슬라, 창사 첫 연간 흑자…주가는 급락"
57,"손병두 “주가 3000 돌파, 증시 펀더멘털 긍정적 평가 결과”"
58,코스피 능가하는 게임스탑 하루 거래대금…주가하락 주범 지적도
59,계속되는 관치에 멍드는 금융지주 주가
60,"[시론] 주가지수 3000 시대, 무엇을 볼 것인가?"
61,"신공항 테마주…윈하이텍, 해외 수주 소식에 주가↑"
62,"[클릭 e종목]삼성전자, 실적 발표일 주가 하락…앞으로 향배는?"
63,"헤지펀드-개미의 매매 공방, ‘게임스톱’ 주가…미 증시 전체 흔들어"
64,게임스톱 주가 폭등도 트럼피즘 때문?
65,"[특징주]HMM, 산은 매각설에 주가 장 중 10% 뛰어"
66,"재벌 총수 수감기간 주가, 대부분 코스피보다 상승"
67,"삼성생명 목표주가 상향 ""삼성전자 배당 확대로 주당 배당금 늘 전망"""
68,"[종합] 다우지수 3만선 붕괴...테슬라주가 5.05%, 애플주가 3.86% 급락"
69,'SNS의 힘'…美 게임스톱·AMC 주가 '폭등'
70,"대한그린파워 ""일시적 주가 하락 회사 사업과 무관"""
71,"'주가 훈풍' 대한항공, 유상증자 8000억원 더 늘린다"
72,"이마트, SK와이번스 인수 '호재'…목표주가 21만-이베스트證"
73,"주가 3% 급락...3,000선 16거래일 만에 무너져"
74,[칼럼] 경영권 분쟁 그리고 주가와의 상관관계
75,갑자기 낮아진 대한항공 주가…유상증자 권리락 때문이라는데
76,주가가 이끈 韓경기선행지수 9개월째 올라… OECD 29개국 최장기간
77,"[채널Who] 미래에셋대우 주가 아직 멀었다, 최현만 한 방이 더 필요해"
78,공매도 금지했더니 '박스피' 탈출?…금융위기땐 되레 주가 하락
79,"우승 후보 꼽히고 주가 높인 두 골퍼, 임성재와 김시우"
80,"삼양홀딩스, 삼양바이오팜 흡수 합병 결정…주가 '급등'"
81,<뉴욕마켓워치> 증시 과열 진정·변동성 지속…주가↑국채↓달러 혼조
82,"현대모비스 목표주가 상향, ""아이오닉5와 함께 전동화부문 본격 성장"""
83,시멘트 운송 화물차주가 받는 안전위탁운임 5.9% 오른다
84,실적 기대감에 두달새 30% 오른 대한항공 주가… 임원들은 줄매도
85,"금호석유화학 주가 초반 급등, 삼촌과 조카 경영권 분쟁 가능성"
86,'광란의 투기판' 게임스톱 주가 9거래일새 642% 폭등(상보)
87,하루 주가 140% 이상 널뛰기…'투기판' 전락한 게임스톱
88,모더나 백신 변이 바이러스에 효과…주가 12% 폭등(종합)
89,"[속보] 페이스북, 애플, 테슬라, 아마존 주가 다 떨어졌다"
90,미국도 개미들의 반란… 美게임스톱 주가 135% 급등
91,"美 게임스톱·AMC 주가, 하룻새 2.4~4배 뛰었다"
92,"현대제철 목표주가 높아져, “자동차강판 가격 인상 가능성 커져”"
93,"비트코인 3550만 원대로 올라, 가상화폐 '혼조' 테마기업 주가 '하락'"
94,"디오, 임플란트 '역대급' 실적에 주가↑"
