,title
0,'2박3일 제주여행' 교회 목사·가족 9명 무더기 확진···지역사회 감염 '초비상'
1,한국형 탈피오트 사회 첫 발
2,"경북도, 안동농협․포항농협과 사회적경제 특판전 열어"
3,대란 없이 끝난 ‘온라인 삼성고시’…사회적 비용 절약 길 열리나
4,"박정호 ""사회안전망 강화, 코로나 극복""…SKT, 지난해 사회적 가치 1.9조원"
5,"SK텔레콤, 사회적 가치 1조 8709억원 창출"
6,"SKT ""작년 사회적 가치 1조8천709억원 창출…전년比 8.3% 증가"""
7,"[속보] 靑비서관 7명 인사…교육⋅박경미, 의전⋅탁현민, 사회통합 조경호"
8,미 '흑인사망' 항의시위 번지며 미네소타 한인사회에도 '불똥'
9,사회적 거리두기 때문에? 코로나 이후 '야식' 횟수 늘어
10,목포고 출신 조경호 사회통합비서관 임명
11,[단독]“마네킹 옷까지 다 털려”…美 시위에 한인사회 불똥
12,"SKT ""작년 사회적 가치 1조8천709억원 창출…전년比 8.3% 증가"""
13,한국형 탈피오트 사회 첫 발
14,"청와대 사회통합 조경호, 의전 탁현민 발탁"
15,"경북도, 안동농협․포항농협과 사회적경제 특판전 열어"
16,"점심 복귀 30분 늦어 사회복무 5일 연장…""억울"" 국민청원"
17,이름 바꾼 경남 사회혁신플랫폼…지역민에 한걸음 더 '성큼'
18,"'사실상 사회적 거리두기'에도…""기말 봐야죠"" 카페 북적"
19,"포스코케미칼, 지역 사회 돕는 언택트 봉사활동 '훈훈'"
20,'노동개혁 교훈'주는 獨하르츠개혁·아일랜드 사회연대협약
21,‘LA 폭동’ 악몽 떠올리는 한인 사회
22,【프로필】 조경호 신임 청와대 사회통합비서관
23,곽상도 “정의연에 낸 사회적기업 후원금 누락”
24,SK텔레콤 “지난해 SK텔레콤이 창출한 사회적 가치 1조8700억원”
25,"SKT, 사회적 가치 1조 8,709억 원 창출"
26,"[사회공헌] 포스코, 광양시와 바다 생태 환경 보전 활동"
27,"‘사회적 거리두기' 스킨십? 男 ""상관 없어"" 女 ""가벼운 건~"""
28,국내 신규 확진 27명 추가… 지역사회 15명· 해외유입 12명
29,"사회와 격리된 '수감자·군인', 재난지원금 신청·사용 가능해진다"
30,"전남도, 사회적기업 '비대면거래' 지원 강화"
31,전남도 사회적경제기업 비대면 거래 활성화 지원
32,"[법과사회] “정치를 대국적으로”, 김재규 재심 가능성은"
33,"SK네트웍스 중고폰 사업 ""사회적가치 창출 힘보탠다"""
34,지역사회 신규 확진 90%가 수도권…서울·경기·인천 확산세 지속
35,경남 사회적경제기업 금융지원 길 열릴까
36,광주 사회적경제기업 컨설팅 지원 사업 추진
37,"'100년 기업' 하이트진로, '진심을 다(多)하다' 사회공헌 활발"
38,해고노동자 고공농성 해제…삼성 또 한번의 '사회적 합의'
39,최근 1주일 지역사회 감염사례 ‘수도권’이 90% 육박
40,김연 의원 '사회적 농업 육성' 입법활동 가시화
41,[포토] 사회적 거리 두기 실종
42,"광양시의원, 포스코 지역사회 갈등 해결 촉구"
43,"좌파의 역대급 위기...""사회주의 정치 보여줘야"""
44,"괴산군여성단체협의회, '지역사회 행복나눔사업'으로 이웃사랑 실천"
