,title
0,"신한금융, SK그룹과 120억 사회적기업 지원펀드 결성"
1,"[신년사] 유남석 헌재소장 ""헌법재판으로 사회 갈등 치유할 것"""
2,삼양그룹 사회복지공동모금회에 3억원 기부
3,"[신년사] 이총리 ""경제 활력 불어넣고, 더 따뜻한 사회 돼야"""
4,"“넉달 조국 수사…나눠진 사회, 결론은 법정에서”"
5,"CJ프레시웨이 임직원, 올해 사회공헌 5100시간 기록"
6,"bhc치킨 이웃돕기 성금 1억 기탁, 박현종 ""지속적 사회공헌"""
7,"영월산업진흥원, 폐광지역 사회적경제 활성 협약"
8,"김정태 하나금융 회장 ""사회적 가치 위해 사업모델 새롭게 만들어야"""
9,내년도 사회복무요원 1월2일부터 군사훈련 시작
10,내년도 사회복무요원 1월2일부터 군사훈련 시작
11,"4+1 ""檢개혁 역사적 진전…사회 투명성 높이고 사법불신 해소"""
12,"한성모터스, 연말 사회공헌 프로젝트 진행"
13,내년부터 벌금형 500만원까지 사회봉사로 대체 가능
14,"박하선 동생 추모글마저 해명해야 하는 사회 ""제 취지는 인식개선"""
15,"LS니꼬동제련, 종무식 대신 사회공헌으로 한 해 마무리"
16,"롯데백화점 수원점, 아녜스의 집서 사회공헌활동 실시"
17,쌍용차 해고자 복직 '사회적 합의 지켜라'
18,"[사회공헌] 효성캐피탈, 소외계층에 연탄 기부"
19,北 전원회의 2일차…김정은 '경제·군사·사회부문' 전략보고
20,"[신년사]박능후 장관 ""연금·사회보험 개혁으로 인구변화 대비"""
21,"[신년사] 박승원 광명시장 ""공정사회로 가는 주민 자치의 해 만들 것"""
22,[충남소식] '지역사회서비스지원단' 충남복지재단서 위탁 운영
23,"KISA, 전남·광주 사회적경제기업 홍보관 구축"
24,2019년 한 해 동안 392개 사회적기업이 탄생
25,"(재)한국사회적경제씨앗재단, 유기농 쌀·라면 기탁"
26,"이재명 지사 ""진정한 성평등 사회는 결코 타협할 수 없는 경기도의 가치"""
27,갈라지는 사회에 던지는 '공명조'의 경고
