,title
86,"감전동 지역사회보장협의체, 따뜻한 겨울나기 패딩조끼 지원"
87,확진자 군산 이마트 방문...지역사회 초비상
88,"거제2동, 지역사회보장협의체 2020년 역량강화 교육 실시"
89,"[1보] 문대통령 ""지역사회 걱정없게 귀국자 완벽차단…빈틈없이 관리"""
90,"[속보] 질본 ""국내 신종코로나, 현재 지역사회 광범위 전파 아냐"""
91,"문 대통령 ""지역사회 감염 우려...대통령 일정도 수정"""
92,"인제군, 노인사회활동지원사업 추진"
93,"""과장·왜곡 정보 사회적 공포 초래…위기 극복 합심"""
94,"충북도, 재난안전체험 복합타운 조성…사람중심 안심사회 실현"
95,지지선언하는 시민사회단체
96,"원광대 동북아인문사회연구소, 인문강좌 ‘찾아가는 NEAD’"
97,"정부, 신종 코로나 지역사회 감염 우려 공식화…""절실한 시기 닥쳐와"""
98,"""시설격리 가장 강력…지역사회 전파 가능성 사실상 0%"""
99,‘다문화’ 품은 은행권 “사회적 공감대 형성”
100,"산청군, 노인 맞춤형 일자리·사회활동 지원 확대"
101,"논란 해소된 이강래 ""사회가 공정하게 발전하는 과정"""
102,"울산시, '장애인 자립·사회참여 지원사업' 1,133억 투입"
103,"공주시, 지역사회 건강증진 협력체계 구축"
104,"[아유경제_사회] 정부 ""마스크 대란 막는다""… 유통현장 직접 방문"
105,"정 총리 “공수처 설치·검경수사권 조정, 특권없는 공정사회 디딤돌”"
106,"박원순 ""추가 확진자 모두 서울시민…지역사회 감염 우려 커져"""
107,"정부, '중동평화구상'에 ""미국 등 국제사회 평화정착 노력 평가"""
108,성남시 “지역사회 서비스 신청하세요”
109,"배우 김희찬 입대 ""선천적 질병으로 사회복무요원"""
110,"배우 김희찬 입대 ""선천적 질병으로 사회복무요원"""
111,"'신종코로나' 2차감염 우려…질본 ""지역사회 전파 단계 아냐"""
112,경기도 '사회서비스원' 초대원장에 이화순씨 임명
113,'화장실 몰카' 사회복무요원 실형
114,원광대병원에 '신종코로나' 확진자…지역사회 초긴장
115,[아유경제_사회] 경기 양주 가죽공장서 폭발 사고… 2명 사망ㆍ8명 부상
116,[기자브리핑] 신종 코로나바이러스 지역사회 확산 차단에 집중
117,"경기도, 지역 문화·역사·사회상 담은 '교육용 콘텐츠' 개발"
118,'규제 샌드박스 1년'…신사업 매출액 증대·사회적비용 절감 효과
119,"복지 차관 ""우한 교민 수용에 지역사회 불만·혼선 초래 사과"""
120,"경기도, 지역 문화·역사·사회상 담은 '교육용 콘텐츠' 개발"
121,'규제 샌드박스 1년'…신사업 매출액 증대·사회적비용 절감 효과
122,"복지 차관 ""우한 교민 수용에 지역사회 불만·혼선 초래 사과"""
123,"文대통령 ""일·가정 양립 위해 근본적인 사회구조 바꿔내야""(종합)"
124,"의왕시, 사회보장급여 탈락자 ‘한 번 더 조사’ 추진"
125,대구상공회의소 사회공헌위원회 이웃사랑 성금 전달
126,"'박근혜 퇴진 광화문 촛불사회자' 윤희숙, 민중당 비례대표 후보 출마 선언"
127,"아시아문화원, 2020 사회적가치 비전 선포"
128,사회문제 해결 공감…충남·세종청년회의소와 '맞손'
129,'기후변화 관련 시민사회 원로급 인사 오찬간담회'
130,'기후변화 관련 시민사회 원로급 인사 오찬간담회'
131,"광주은행 신입행원 42명, 연수 마치고 사회 첫발"
132,"""고용이 사회공헌""···'채용메뉴' 늘린 외식업"
133,"공주시, 지역사회 건강증진 협력체계 구축 나서"
134,"[사회공헌] bhc치킨 '해바라기 봉사단', 복지관 급식 봉사로 올해 첫 활동 개시"
135,“함께海”협의체 사회가치실현 2020년에도 함께해
136,시민사회단체 관계자와 악수하는 박형준
137,"[공식] 김희찬, 오늘(30일) 입대 ""선천적 질병 탓…사회복무요원 복무"""
138,"성남시, 지역사회 서비스 신청하세요!"
139,"대구가톨릭대, 사회적 약자 위한 푸드테라피 실시"
140,"대구가톨릭대, 사회적 약자 위한 푸드테라피 실시"
141,"[오마이포토] '사냥의 시간' 박경림, 사회의 시간"
142,女화장실 등 100여차례 불법 동영상 찍은 사회복무요원 '실형'
143,"GKL사회공헌재단, 이사장에 나종민 전 문체부 차관 선임"
144,"증평군보건소 치매안심센터, 지역사회 치매협의체 개최"
145,"김희찬, 오늘(30일) 입대... ""선천적 질병으로 사회복무요원 대체복무"" (공식)"
146,[VOA 뉴스] “공개처형 재개…국제사회 ‘인권 관여’ 필요”
147,성남시 “지역사회 서비스 신청하세요”
148,"박원순 ""우한폐렴, 이제부터다…지역사회감염 막아야"""
149,"의왕시, 사회보장급여 탈락자 '한번 더 조사' 추진"
150,"의왕시, 사회보장급여 탈락자 '한번 더 조사' 추진"
151,[경제] “사회적 가치 측정하자” 최태원 제안에 “대단히 흥미롭다” 스티글리츠 반색
152,"이재명, 사회복지법인 불법 ‘철퇴’"
153,"[아유경제_사회] WHO, 국제 비상사태 선포… ""달라지는 점은?"""
154,[아유경제_사회] '신종 코로나' 7번째 확진자 발생… 우한 방문한 28세 한국인
155,"성윤모 ""사회적 약자 힘 되는 '따뜻한 규제샌드박스' 될 것"""
156,산청군 노인일자리·사회활동 지원 대폭 확대
157,신종코로나 여파…외국인 사회적응 프로그램 일시중단
158,정부 “가족·지인 간 전파…지역사회 광범위한 확산은 아냐” [‘신종 코로나’ 확산]
159,인천시민사회단체연대 새출발
160,"감전동 지역사회보장협의체, 따뜻한 겨울나기 패딩조끼 지원"
161,확진자 군산 이마트 방문...지역사회 초비상
162,"거제2동, 지역사회보장협의체 2020년 역량강화 교육 실시"
163,"[1보] 문대통령 ""지역사회 걱정없게 귀국자 완벽차단…빈틈없이 관리"""
164,"[속보] 질본 ""국내 신종코로나, 현재 지역사회 광범위 전파 아냐"""
165,"문 대통령 ""지역사회 감염 우려...대통령 일정도 수정"""
166,"성남시, 지역사회 서비스 신청자 모집"
167,"인제군, 노인사회활동지원사업 추진"
168,"대구가톨릭대, 사회적 약자 위한 푸드테라피 실시"
169,"""과장·왜곡 정보 사회적 공포 초래…위기 극복 합심"""
170,"충북도, 재난안전체험 복합타운 조성…사람중심 안심사회 실현"
171,지지선언하는 시민사회단체
172,"경기도 특사경, 사회복지 운영비리 집중 수사"
173,"충남도, 사회문제 해결 공감…충남·세종청년회의소와 MOU"
174,"원광대 동북아인문사회연구소, 인문강좌 ‘찾아가는 NEAD’"
175,"조명래 장관, 기후변화 관련 시민사회 원로급 인사 오찬간담회 진행"
176,"전문가들 국내 방역 뚫려...지역사회 감염 전파 시작, 방역강화해야"
177,이화순 경기도사회서비스원 대표이사 공식 취임
178,"정부, 신종 코로나 지역사회 감염 우려 공식화…""절실한 시기 닥쳐와"""
179,"인제군, '노인사회활동지원사업' 역대 최대 규모 추진"
180,"정부, 신종 코로나 지역사회 감염 우려 공식화…""절실한 시기 닥쳐와"""
181,"인제군, '노인사회활동지원사업' 역대 최대 규모 추진"
182,"""시설격리 가장 강력…지역사회 전파 가능성 사실상 0%"""
183,‘다문화’ 품은 은행권 “사회적 공감대 형성”
184,"광명시, 종합사회복지관과 긴밀한 협력...시민 복지 증진 앞장"
185,산청군 노인일자리·사회활동 지원 대폭 확대
