"","title"
"0","SK, '사회문제 해결·수익 추구' 임팩트 유니콘 공모 결과 발표"
"1","고등 축구 전국대회, 8월 시작…사회적 거리두기 3단계 땐 취소"
"2","봉하마을 찾은 박주민 ""사회의 합의와 상식 바꿔 나가겠다"""
"3","경기도, 사회적경제기업 127곳 '지원'"
"4","""사회적 배려 대상자 우선""…태백시 민원실 환경 개선"
"5","인천시사회서비스원추진단 출범"
"6","[속보] 코로나 신규 확진 36명... 지역사회 14명ㆍ해외유입 22명"
"7","이재명 ""위기 극복을 위해 사회적 책임 다해주셨다"""
"8","신규 확진 36명 발생… 지역사회 14명·해외유입 22명"
"9","사회가 조금 큰 학교가 되면 어떨까?"
"10","2조원 통큰기부…베이조스 전처 '사회운동 큰손' 변신(종합)"
"11","군산시, 관내 사회복지시설에 태양광 설비 무상 지원"
"12","신규 확진 36명 발생… 지역사회 14명·해외유입 22명"
"13","성폭행이 미국식 인사?... 지역사회 공분 산 목사의 황당 변명"
"14","사회가 조금 큰 학교가 되면 어떨까?"
"15","중부발전, 충남지역 사회적기업 6곳 선정 1.6억원 지원"
"16","무한경쟁 구조 깨기 위한 사회적 연대"
"17","인천시사회서비스원추진단 출범"
"18","사회적 거리 관람"
"19","코로나 신규 확진자 48명…국외유입 34명·지역사회 14명"
"20","한국철도-애플라인드, '기차의류' 제작…수익금 사회공헌키로"
"21","충북도, 내달 19일까지 하반기 예비사회적기업 모집"
"22","코로나19 이후의 학교, 사회적 협의로 큰 길 찾는다"
"23","경기도, 한미연합훈련 취소 건의 “주한미군 105명 감염, 지역사회 전파 우려”"
"24","문체부, KBO에 경고…""롯데, 사회적 거리두기 미흡"""
"25","지코, 사회복무요원으로 오늘 훈련소 입소"
"26","포스트코로나 및 고령사회의 헌혈 증진 정책토론회"
"27","[종합] '통신망→사회상생망'으로…SKT-코액터스 '고요한택시' 결실"
"28","세종시, ‘사회적경제 시민아카데미’ 수강생 모집"
"29","정부, 사직구장 '사회적 거리두기 미준수' 엄중 경고"
"30","""공정을 내세운 무한경쟁과 계급사회화 거부한다"" [경향포토]"
"31","지코, 오늘(30일) 입대...사회복무요원 대체"
"32","KBO, ‘사회적 거리두기 미흡’ 롯데에 엄중경고"
"33","공공기관, 지역사회 손잡고 ‘혁신도시 활성화’"
"34","日 수출규제, 국제사회 심판 받는다…WTO 패널설치 확정"
"35","뉴질랜드 외교부 ""한국에 실망""…교민 사회 ""창피"""
"36","'코로나 19' 이후 중국 사회는 어떻게 변할까?"
"37","지스트 사회공헌단, 미래과학자 온라인 초청행사 개최"
"38","전주, 사회혁신 성과 공유"
"39","전남교육청, 고교학점제 사회교과 거점학교 확대 운영"
"40","SK, 돈 벌며 사회문제 해결하는 '임팩트 유니콘' 6곳 선정"
"41","수소사회 여는 일본, 가정용 연료전지 보급 빠르게 확대"
"42","심평원, 기획상임이사에 신현웅 보건사회연구위원 임명"
"43","경북, '코로나19' 해외유입사례 2명 확진…지역사회감염은 25일째 0명"
"44","완주군, 코로나19 지역사회 전파 차단 주력"
"45","도, 2020년 제주특별자치도 사회조사 실시"
"46","이번엔 '던킨·롯데리아' 굿즈 대란…'사회적 거리두기'는?"
"47","원희룡 “공직사회 성폭력 뿌리 뽑겠다” 전담기구 신설"
"48","[사회공헌] 하이트진로, 물놀이 안전 예방 '국민안전캠페인'"
"49","서울시, '지역사회 공헌 우수 소상공인' 추천 접수"
"50","국제사회 “한국 정부, 北인권단체에 대한 위협 중단해야”"
"51","“경남 공공의대 유치, 지역사회 적극 나서야”"
"52","홍콩 2분기 성장률 -9% '최악'…사회적 거리두기 다소 완화(종합)"
"53","대전시, 사회혁신 ‘별의별 상상대전’ 공모사업 추진"
"54","[뭐라노]'사회적 몰아두기'한 롯데에 강력 경고한 정부"
"55","하남시 지역교육력 제고 돌입…지역사회 주체"
"56","SK, 선수단 체벌 논란 사과 ""사회적 큰 물의 일으키면 퇴단 조치"""
"57","여성단체 ""최근 한국사회 여성 차별·성폭력 실상 참담하게 확인했다"""
"58","신협사회공헌재단, '신협 어부바부채' 전달식"
"59","급변하는 사회에 진로 고민도 커져… 10년 후에도 의사는 유망 직종일까?"
"60","SK, 사회적 수익 추구 소셜벤처기업 연합체 지원"
"61","우리 모두 사회적 거리두기를 지켜요!"
"62","김부겸 후보 ""일하는 사람이 존중받는 사회 만들 터"""
