,title
0,코로나19 지역사회 신규확진 72일 만에 ‘0명’
1,"트럼프 ""연방정부 차원 사회적 거리두기 지침 사라질 것"""
2,"한국노총, '코로나19 극복 사회적 대화' 입장 결정 유보(종합)"
3,"예탁원, 부산 사회적경제 지원기금 10.4억원 지원"
4,"""거스름돈 사라지나""…유통街, '현금 없는 사회' 가속화"
5,"청와대 시민사회수석 지낸 이용선 ""토지공개념 개헌하자"""
6,"정 총리 ""코로나 대응, 다음 단계 진전 가능""… 사회적 거리두기 완화 시사"
7,텔레그램으로 성 착취 영상물 재유포한 20대 사회복무요원
8,"유니클로, 부산 삼정타워점 오픈...지역사회 위해 달린다"
9,"김진표 의원, ‘개인정보유출 가혹행위’ 사회복무요원 징계강화법 발의"
10,"한국노총, 경사노위 밖 사회적대화에 '일단 멈춤'"
11,유니클로 삼정타워점 오픈…지역사회 활성화를 위한 활동 전개
12,"길어진 사회적 거리두기에…성인 80% ""피로감 느낀다"""
13,"병무청, 다음달 말까지 사회복무요원 복무기관 실태조사"
14,"김진표 의원, ‘개인정보유출 가혹행위’ 사회복무요원 징계강화법 발의"
15,“선거방역 성공…황금연휴 사회적 거리 두기 계속”
16,"독일, 사회적 거리두기 내달 10일까지 연장"
17,"부산 이전 공공기관, 사회적경제 기업 25곳에 금융지원"
18,"정 총리 ""코로나 대응, 다음 단계 진전 가능""… 사회적 거리두기 완화 시사"
19,전남 5·18 40주년 기념행사 '사회적 거리 두기' 준수
20,"학벌없는사회 ""지자체 장학회, 학교 밖 청소년 배제는 차별"""
21,"무리뉴 토트넘 감독, 지역사회 위해 '채소 배달'"
22,"코로나19, 지역사회 발생 ‘0명’···해외유입 ‘4명’"
23,"사회적기업 그레이프랩, 친환경 종이 플라워박스 키트 출시"
24,"""채팅방서 모욕"" 사회1타 강사 이지영, 수학1타 현우진 고소"
25,황금연휴 첫 날…‘사회적 거리두기 대책’ 효과는?
26,'아직은 사회적 거리두기'
27,'황금연휴 시작' 사회적 거리두기 당부
28,대전시 '사회적 거리두기' 이후 생활방역 전담팀 운영
29,"코로나 사회적 대화, 판 커지나..""노·사·정+시민·종교계' 제안"
30,[신간] 법으로 읽는 중국 고대사회
31,연휴 기간 사회적 거리 두기 캠페인 실시
32,[코로나19 캠페인]‘5월5일까지 사회적 거리두기’
33,코로나19 신규 확진 해외유입만 4명…지역사회 첫 0명
34,자전거 빅2 “사회적거리두기 순풍에 페달 가속”
35,편의점 거스름돈 계좌로 받는다…잔돈없는 사회 성큼
36,조주빈에 피해자들 개인정보 넘긴 전 사회복무요원 구속기소
37,"미, 반려견서 코로나19 첫 양성…""반려동물도 사회적 거리두기"""
38,"외교부, 개도국 감염병 역량 지원 확대한다…""국제사회 기대 커"""
39,조계사 경내 '사회적 거리두기'
40,"시흥시, 사회적경제 공동브랜드 시민 공모"
41,"중구, 여성 등 사회적 약자 보호 위한 업무협약 체결"
42,대웅전 입장도 '사회적 거리두기'
43,"""채팅방서 모욕·비하""…사회1타 강사 이지영, 수학1타 강사 현우진 고소"
44,김해 가야테마파크 내달 1일 재개장…사회적 거리두기 유지
45,"'인간수업' 범죄 전문가 ""현실 직시해야 사회 바꿀 수 있다"""
46,관불의식도 '사회적 거리두기'
47,"캠코 등 8개 부산 공공기관, 사회적경제 지원기금 전달"
48,"민주 코로나 국난극복위, 오늘 '사회적 거리두기' 완화 논의"
49,"롯데홈쇼핑, 지역사회 아동·청소년 대상 '학습지원꾸러미' 전달"
50,"캠코 등 부산 8개 기관, 사회적경제기업에 6.8억 지원"
51,법회에서도 사회적 거리두기 [경향포토]
52,'사회적 거리두기' 꼭 지켜주세요
