,title
0,[넘버스]삼성전자 주가 1000원=패밀리 상속세 1500억
1,"배터리 1위 전략 '첫 단추' LG화학, 주가 하락 우려에도 자신감 드러낸 이유"
2,“모더나 백신 전 세계 출시 준비”…주가 8.4% 급등
3,보름만에 제자리로 돌아온 빅히트 주가…공모가와 7000원 차이
4,"LG화학, '배터리 사업 분사' 결정에 주가 약세 지속"
5,"LG화학 주주 82% ""배터리 분할 찬성""… 주가는 4%대 약세"
6,"넷플릭스, 미국서 월 구독료 인상…매출 확대 전망에 주가↑"
7,“너무 떨어졌는데?”…빅히트 주가 급락 들여다본다
8,‘배터리 법인 분할’ 소식에…LG화학 주가 62만원대로 ‘뚝’ ↓
9,"LG화학 주총서 전지부문 물적분할 확정, 주가 하락세"
10,"단 100원 차이에 세금 150억, 삼성전자 주가 발목잡는 상속세"
11,대선 앞두고 이런 美업체들 주가가 오르고 있다
12,배터리사업 떼어낸 LG화학 주가 6% 급락…뿔났던 개인은 샀다
13,애플 '기대이하 아이폰 매출' 발표 후 亞 협력업체 주가 하락
14,페이스북·아마존·구글 주가 '방긋'…3분기 양호한 성적표
15,"LG화학 주총서 전지부문 물적분할 확정, 주가 하락세"
16,"애플, 3Q 실적 어닝서프라이즈 불구...주가는 하락"
17,"배터리 떼내는 LG화학, 주가 2%대 하락"
18,"LG화학 배터리 분사안 통과될까, 주가는 하락세"
19,"삼성엔지니어링 주가 장중 뛰어, 멕시코에서 대형 정유 프로젝트 수주"
20,"한샘 주가 초반 급락, 유령회사 통한 비자금 조성 의혹 불거져"
21,"""그렇게 좋다는데 주가 왜 빠지나"" LG화학 대답은"
22,"삼성엔지니어링 4조원대 프로젝트 수주, 창사이래 최대...주가도 '들썩'"
23,"[fn종목 돋보기] 필로시스헬스케어, 고점 찍자 수백억대 CB 물량..주가 급락에 주주 혼란"
24,"요즘 주가 왜 안 오를까...""조정 장세 내년 봄까지 갈수도"" [부터뷰]"
25,LG화학 배터리 물적분할 주총 통과…주가 3%대↓ 낙폭 확대
26,배터리 떨어져 나가자···LG화학 주가 6% 빠져
27,‘이재용 부회장 경영 본격화’ 삼성 계열사 주가 강세
28,"위드텍 코스닥 상장 첫 날 주가 초반 뛰어, 공모가 크게 웃돌아"
29,"애플, 아이폰 판매 부진해 주가 하락···한국선 인기"
30,실망감 반영 주가 3%대 ↓…證 “반등”
31,"[특징주] ""LG화학 분할되나""…주총 앞두고 주가 '약세'"
32,"빅히트, 보호예수 풀리자 주가 와르르…'최저가' 기록"
33,‘개미지옥’ 된 빅히트… 주가 보름만에 -60%
34,빅히트엔터테인먼트 주가가 15만원이 무너졌다
35,"대주주 '매도 폭탄'에 빅히트 주가 '와르르'‥ 거래소, 불공정거래 여부 조사"
36,"[베타 투자리포트] NAVER, 주가의 key는 '라인-야후' 합작법인"
37,"LG화학, 개미 반발에도 배터리 분사…주가 6% 넘게 급락"
38,‘빚투’ 주가 하락하면 어쩌나…‘반대매매’ 9조 살얼음판
39,"[클릭 e종목]""지누스, 리스크 해소…주가 반등 가속화"""
40,"잘나가던 LG화학, 주가 주춤"
41,"애플, '기대이상' 실적에도 한중일 부품공급사 주가는 줄줄이 하락"
42,"'주가 미끄덩' 삼성전자…담을까, 던질까"
43,"미국 주간주가, 3월이래 최대 급락"
44,"아마존 3분기 매출 37% 증가, 예상치 상회...마감 후 주가 2% 반락"
45,배당확대-지분 매각 기대감에…삼성그룹 계열사 주가 요동
46,"GS홈쇼핑, 수익성 개선세에도 주가 극심한 저평가…목표가↑-KB"
47,"""이재용이 그룹 핵심"" 삼성물산 주가 13.46% 급등"
48,상장사 지위 희미한 공기업株···해마다 주가 부진
49,"DBC·FSN, 美 회사에 피인수 소식에 주가 ‘好好’"
50,니오 주가 16% 넘게 급등…투자자들 '어리둥절'
51,삼성물산 주가 13% 급등.. 상속세 위해 배당확대 기대감 반영
52,"페이스북·애플 등 美 빅테크, 실적 호조에도 주가 일제히 하락"
53,"[이건희 별세] '국민주'된 삼성전자 주가 향방은?…""영향 제한"""
54,주가 반 토막에 공모가 거품 논란
55,"비트코인 1500만 원대 공방, 가상화폐 시세와 테마기업 주가 '하락'"
56,"""삼성물산, 이건희 회장 타계로 중요도↑""…주가 급등"
57,"삼성SDI 주가 장중 상승, 현대차의 배터리 공급사 입찰 참여 가능성"
58,"대우건설 목표주가 상향, ""자체사업 분양 기대되고 베트남에서 회복"""
59,"LG화학 주가, 국민연금의 '배터리 분사 반대'에 상승 마감"
60,"[이건희 별세] 삼성전자로 본 경영성적…주가 50배, 시총 500배↑"
61,주가 조작해 4억5천만원 챙긴 증권사 관계자 구속
62,"KB증권 “네이버, 매출 고성장 지속…목표주가↑”"
63,"빅히트 주가, 상장 보름 만에 공모가 수준으로 추락"
64,[경제쏙] 빅히트 주가 하락세 언제 멈추나?
65,"애플 · 아마존 · 페이스북, '주가 급락'...미국증시 '강타'"
66,[美대선 돋보기] 독특한 선거인단 제도…경합 주가 승패 가른다
67,상속·지배구조 이슈 속 혼돈 빠진 ‘삼성그룹주’...주가 향방은?
68,[표]유럽 주요기업 주가(10/29)
69,"""아모레퍼시픽, 코로나 벗어날 때까진 시간 소요…주가는 이미 바닥"""
70,코로나19 치료제 개발 국내 기업 관심↑…주가 향방은?
71,"삼성전자 SK하이닉스 주가 2%대 나란히 하락, 개인 팔고 외국인 사"
72,"거래소, '주가 급락' 빅히트 이상거래 여부 살핀다"
73,'2차 봉쇄' 들어가는 유럽 국가들…유가 · 주가 급락해
74,[이건희 회장 별세] 삼성전자 주가 전망 어떨까?
75,[특징주] ITC 판결 앞두고 LG화학·SK이노 주가 동반 하락(종합)
76,"""카겜·크래프톤 주가에 흥행 달렸다""… 신작 '엘리온'에 쏠리는 눈"
77,美 대선 바이든 강세에 총기·대마초 주가 뛰는 이유는?
78,4400억 시총이 356조 됐다···삼성 주가로 본 '이건희 시대'
79,아마존 3분기 매출 37% 늘어났지만…주가는 '하락세'
80,"[카운트머니] BTS에 ‘올인’했는데 주가 ‘뚝’…빅히트, 이대로 괜찮을까"
81,"카카오 주가 상승 예상, ""모빌리티 성장 포함 신사업 수익성 좋아져"""
82,<뉴욕마켓워치> 美대선 불확실성·코로나 우려…주가.국채↓달러↑
83,"모더나 ""백신 전세계 출시 준비"" 주가 '껑충'… 국내 관련주 '주목'"
84,"[특징주]""낙연이형 주가가 왜 이래""…삼부토건 장 초반 '급락'"
85,"4대 금융지주 비은행 실적 ""살아있네""…주가에 한몫"
86,"만도 목표주가 높아져, ""실적개선 요인 많고 구조조정 효과도 예상"""
87,"[김대성의 종목분석] 삼성물산, 주가 급등후 계속 하락하는 이유?"
88,[종합] 미국 메가테크 실적에 투자자 '불합격' 평가…주가지수선물 하락
89,[뉴스큐] 故 이건희 회장 원불교식 입관식 엄수...삼성물산 주가 급등
90,[오늘의 목표주가]아모레퍼시픽·GS홈쇼핑·JB금융지주 ‘실적 모멘텀’...눈높이 ‘UP’
91,부양책 없는데 재봉쇄는 시작…그럼 주가는?
92,<뉴욕마켓워치> 美 GDP 호조·코로나 우려…주가↑국채↓달러↑
93,빅테크 견제에 웃은 '핀터레스트'...매출도 주가도 '급등'
94,[Invest]분사·수주·실적 소식에 따로 가는 배터리 3사 주가
95,"수젠텍, 주가 훈풍부나…코로나19·인플루엔자 신속진단키트 식약처 수출승인"
96,"[뉴욕증시] 넷플릭스, 표준과 프리미엄 요금제 가격인상으로 주가 4% 상승"
97,"타이어3사 리더십, 금호·넥센 '무풍' 한국 '폭풍'...주가는?"
98,"데일리블록체인 주가 초반 상한가 달려, 미국 IT기업에 인수돼"
99,"[초점] 여자친구·BTS·세븐틴까지…빅히트, 주가 하락 멈출 아이템 있나"
100,"""삼성물산, 이건희 회장 타계로 중요도↑""…주가 급등"
101,"삼성SDI 주가 장중 상승, 현대차의 배터리 공급사 입찰 참여 가능성"
102,"대우건설 목표주가 상향, ""자체사업 분양 기대되고 베트남에서 회복"""
103,"LG화학 주가, 국민연금의 '배터리 분사 반대'에 상승 마감"
104,"""전날 거래량 20배, 주가 17% 급등""…삼성물산 왜 오르나?"
105,"[이건희 별세] 삼성전자로 본 경영성적…주가 50배, 시총 500배↑"
106,주가 조작해 4억5천만원 챙긴 증권사 관계자 구속
107,"KB증권 “네이버, 매출 고성장 지속…목표주가↑”"
108,"빅히트 주가, 상장 보름 만에 공모가 수준으로 추락"
109,[경제쏙] 빅히트 주가 하락세 언제 멈추나?
110,[경제쏙] 빅히트 주가 하락세 언제 멈추나?
111,"애플 · 아마존 · 페이스북, '주가 급락'...미국증시 '강타'"
112,[美대선 돋보기] 독특한 선거인단 제도…경합 주가 승패 가른다
113,상속·지배구조 이슈 속 혼돈 빠진 ‘삼성그룹주’...주가 향방은?
114,[표]미국 주요기업 주가(10/30)
115,‘뉴 삼성’ 지배구조 개편 앞두고 삼성물산 주가 급등
116,"""아모레퍼시픽, 코로나 벗어날 때까진 시간 소요…주가는 이미 바닥"""
117,코로나19 치료제 개발 국내 기업 관심↑…주가 향방은?
118,‘포스트 이건희’ 첫날 삼성물산 주가 13.5% 뛰었다
119,"삼성전자 SK하이닉스 주가 2%대 나란히 하락, 개인 팔고 외국인 사"
120,"삼성전자 SK하이닉스 주가 2%대 나란히 하락, 개인 팔고 외국인 사"
121,"거래소, '주가 급락' 빅히트 이상거래 여부 살핀다"
122,'이재용 최대 주주' 삼성물산 주가 13%↑…어떤 이유?
123,'2차 봉쇄' 들어가는 유럽 국가들…유가 · 주가 급락해
124,[이건희 회장 별세] 삼성전자 주가 전망 어떨까?
125,[특징주] ITC 판결 앞두고 LG화학·SK이노 주가 동반 하락(종합)
126,이건희 회장 별세…삼성물산 주가 13.46% 급등 이유
127,빅히트 주가 10% '폭락' ...보호예수 풀리자 '최저가' 직행
128,물산·SDS 뛰고 바이오·SDI 내려…요동친 삼성그룹 주가 왜
129,이건희 회장 별세 뒤 삼성전자 주가 향방은? “영향 크지 않을 듯”
130,"""카겜·크래프톤 주가에 흥행 달렸다""… 신작 '엘리온'에 쏠리는 눈"
131,"빅히트 주가, 공모가 코앞 `털썩`"
132,美 대선 바이든 강세에 총기·대마초 주가 뛰는 이유는?
133,"'이재용 최대 주주' 삼성물산 주가 급등…""핵심 역할 기대"""
134,"'이건희 별세' 삼성전자 주가 영향은…중립적, JY에 달려"
135,4400억 시총이 356조 됐다···삼성 주가로 본 '이건희 시대'
136,아마존 3분기 매출 37% 늘어났지만…주가는 '하락세'
137,"[카운트머니] BTS에 ‘올인’했는데 주가 ‘뚝’…빅히트, 이대로 괜찮을까"
138,"카카오 주가 상승 예상, ""모빌리티 성장 포함 신사업 수익성 좋아져"""
139,<뉴욕마켓워치> 美대선 불확실성·코로나 우려…주가.국채↓달러↑
140,"모더나 ""백신 전세계 출시 준비"" 주가 '껑충'… 국내 관련주 '주목'"
141,"[특징주]""낙연이형 주가가 왜 이래""…삼부토건 장 초반 '급락'"
142,"4대 금융지주 비은행 실적 ""살아있네""…주가에 한몫"
143,"LG화학, 배터리 법인 분할 결정...주가 하락 후 소폭 회복세"
144,[이건희 별세] 상속 이슈 속 엇갈린 계열사 주가
145,"한샘, 불법 비자금 조성 의혹 부인... ""사실 아냐"" 하지만 주가는 하락세"
146,"만도 목표주가 높아져, ""실적개선 요인 많고 구조조정 효과도 예상"""
147,"[김대성의 종목분석] 삼성물산, 주가 급등후 계속 하락하는 이유?"
148,[종합] 미국 메가테크 실적에 투자자 '불합격' 평가…주가지수선물 하락
149,[뉴스큐] 故 이건희 회장 원불교식 입관식 엄수...삼성물산 주가 급등
150,삼성물산 주가 13.46% 급등…지배구조 개편 관심
151,[오늘의 목표주가]아모레퍼시픽·GS홈쇼핑·JB금융지주 ‘실적 모멘텀’...눈높이 ‘UP’
152,부양책 없는데 재봉쇄는 시작…그럼 주가는?
153,<뉴욕마켓워치> 美 GDP 호조·코로나 우려…주가↑국채↓달러↑
154,빅테크 견제에 웃은 '핀터레스트'...매출도 주가도 '급등'
155,[Invest]분사·수주·실적 소식에 따로 가는 배터리 3사 주가
156,"수젠텍, 주가 훈풍부나…코로나19·인플루엔자 신속진단키트 식약처 수출승인"
157,"[뉴욕증시] 넷플릭스, 표준과 프리미엄 요금제 가격인상으로 주가 4% 상승"
158,삼성전자·SDS 산 外人…주가 오른 물산·생명은 팔았다
159,"타이어3사 리더십, 금호·넥센 '무풍' 한국 '폭풍'...주가는?"
160,"데일리블록체인 주가 초반 상한가 달려, 미국 IT기업에 인수돼"
161,"[초점] 여자친구·BTS·세븐틴까지…빅히트, 주가 하락 멈출 아이템 있나"
162,"유한양행 목표주가 상향, “기술수출 단계별 수수료로 실적 좋아져”"
163,"'호재 만발'에도 웃지 못한 삼성전자·물산·SDS 주가, 왜?"
164,"모더나, 코로나19 백신 전 세계 출시 준비 소식에 주가 8.4% 급등"
165,"삼성SDI, 배터리 호조 ‘깜짝실적’에 주가도 강세"
166,"DB금투 “DGB금융, 내년 이후 실적 상향 조정…목표주가↑”"
167,아모레퍼시픽 효율화 성공···주가도 볕들까
168,'주총 D-2' LG화학 물적분할 표대결 주목…주가 향방은
169,애플·알파벳·아마존·페이스북 실적 발표...시간외 주가 흐름은? [글로벌 이슈투데이]
170,"LG화학, 12월초 100%자회사 'LG에너지솔루션'에 배터리사업 맡긴다…""LG화학 주가 디스카운트 불가피"" 오늘 주가도 6%대 급락"
171,"NH투자증권, 4Q 고수익 지속 전망…주가 탄력 기대감"
172,"[특징주] 삼성전자, 사상 최대 분기실적에도 주가 약세"
173,'주총 D-day' LG화학 배터리 분사 할까…주가는 '긍정적'
174,"키움증권 ""만도, 실적개선 본격화 기대…목표주가 ↑"""
175,"[이건희 별세] 삼성전자로 본 경영성적…주가 50배, 시총 500배↑"
176,‘닥터둠’ 루비니 “대선 결과 분쟁 늘어지면 주가 10% 하락”
177,"거래소, ""리딩방 주가 조작 등 불공정주문 종목 현재 197개"""
178,'이재용 최대 주주' 삼성물산 주가 급등…그 배경은?
179,빅히트 주가 하락 원인은 4대주주의 물량 폭탄
180,빅히트 주가 하락 원인은 4대주주의 물량 폭탄
181,지배구조 개편 기대감…삼성물산·SDS·생명 주가 ‘급등’
182,"비트코인 1480만 원대로 밀려, 가상화폐 시세와 테마기업 주가 '하락'"
183,[일문일답] KT구현모 “내년 빅딜 쏟아진다”…주가 기대감
184,"포스코, 3분기 흑자 전환…주가 5% 급등"
185,"애플·아마존 예상 웃돈 실적에도 주가 폭락…""월가 열광시키지 못해"""
186,"GS홈쇼핑, 코로나19로 영업환경 개선…주가 저평가 상태-KB"
