,title
0,"IMF ""신종 코로나 경제 파장 판단 일러"""
1,"정부 ""신종코로나, 아직까지 경제 영향 크지 않아"""
2,"청와대, 신종 코로나 대응 따라 문 대통령 일정 조정...경제 일정은 “예정대로”"
3,기재차관 “신종 코로나 경제 여파 차단에 가용 자원 총동원”
4,'신종코로나' 확산에 中 연휴 연장...경제 '휘청' 우려
5,"김해시 ""베트남과 경제협력 강화해 나갈 것"""
6,[생생경제] 플랫폼 경제의 빛과 그림자
7,"한은 ""신종 코로나, 경제적 영향 있어…금리 인하 논의하긴 일러"""
8,"대외硏 ""브렉시트 개시, 한국 경제 영향은 미미할 듯"""
9,"미 기준금리 1.50~1.75% 동결, “신종코로나로 경제전망 불확실”"
10,[친절한 경제] '수백만 원 차이' 초고화질 TV 고르는 법
11,"정부 ""신종 코로나 우리 경제 영향 크지 않아"""
12,"미 경제, 지난해 2.3% 성장…4분기엔 2%대 '턱걸이'(종합)"
13,"올해 스마트공장 5,600개 짓는다···“디지털 경제로 전환”"
14,"中企 CEO 절반 ""21대 국회, 규제 풀어 경제 살려야"""
15,[글로벌 경제] 마침내 브렉시트…새 무역협정 과제는?
16,"신종코로나, 세계경제 위협할까…미 연준·IMF도 파장 '주시'"
17,내달 초 경제부처 실·국장 대규모 인사... 관가 술렁
18,"이호승 경제수석, 전남 조선업계 방문…""미래준비 적극 지원"""
19,"""우한폐렴, 韓1분기 경제성장률 0.4%포인트 낮춰"""
20,동백전 캐시백 2월에도 ‘10%’…지역 경제 활성화 큰 기대
21,"'머니게임' 고수, 경제부총리 박지일 등에 업고 부활…이성민 몰락 위기"
22,[글로벌 인사이트]세계 경제에 ‘이보다 더 나쁠 수는 없다’
23,"경기경제과학진흥원, 바이오기업 8곳에 기술이전 협약"
24,"신종코로나 공포 확산·경제지표 부진, 유럽 증시 장중 일제 급락…英 0.9%↓"
25,"김영록 전남 지사, 청와대 경제수석과 조선 산업 현장 방문"
26,"기재차관 ""신종코로나, 아직 韓 경제에 영향 크지 않다"""
27,"구미시, 지역경제 '빨간불' 대책시급"
28,"EY한영 ""기업인 79%, 올 한국 경제 부정적으로 전망"""
29,"파월 미 연준의장 “신종 코로나, 세계경제 새 변수”"
30,[아유경제_기자수첩] 브렉시트가 야기한 유럽의 불균형
31,"CJ올리브네트웍스-국가정보자원관리원, 데이터 경제 활성화 협약"
32,"비정규직의 생떼…""정규직 전환하고 정년 65세"" [조재길의 경제산책]"
33,[이상민의 경제기사비평] 마사지한 연합기사 복붙 보도한 지상파
34,'경제' 항저우-'정치' 베이징 잇는 물길...대륙을 단일국가로 만들다
35,"이인영 ""신종코로나 예비비 편성 검토… 경제영향 면밀히 살필 것"""
36,"울산시 ""다음 주 공석 경제부시장에 기재부 인사 임명"""
37,"미 연준 의장 '신종코로나 악재' 우려…""경제활동에 차질""(종합)"
38,"경기도, '신종코로나 예방' 전통시장에 6억원 투입…""경제타격 최소"""
39,"""회복세 경남 경제 위축 막자""…'신종 코로나' 기업 어려움 대응"
40,IMF·금융위기 수준 지난해 ‘韓 경제’…막판 회복했더니 ‘코로나’ 복병
41,"신종 코로나, 최대 복병...""경제 심리 영향 우려"""
42,"KIEP, 5년 연속 아시아 국제경제정책 1위"
43,"WHO, 우한폐렴 '국제적 공중보건비상사태' 선포...보건 경제 등 파장 클 듯"
44,"[SR경제&라이프] KT, 2020 김재환 콘서트 단독 생중계"
