,title
0,"[전문]홍남기 경제부총리, 신축년 새해, 국민께 드리는 인사말"
1,[신년사] 이재명 경기도지사“‘경제적 기본권’확대로 미래 대비하겠다”
2,"추운 날씨만큼이나 경제 엄동설한, 내년초 시계 제로"
3,“규제 풀어달라”…경제단체장 신년사 호소
4,"광주경제자유구역청 초대 청장, 김진철"
5,"이주열, “내년 경제 K자형 회복, 통화정책 완화기조 유지”"
6,"조성욱 공정위원장 ""디지털 공정경제 확립 추진"""
7,"이낙연 신년사 ""민생회복과 경제도약 최우선"""
8,"이재명 ""'지역화폐 예산낭비' 대서특필했던 경제지들 다 어디갔나?"""
9,개각·청와대 개편 '파격 속도전' 왜…경제라인은 잔류?
10,"이주열, “내년 경제 K자형 회복, 통화정책 완화기조 유지”"
11,새해 달라지는 것들…경제자유구역청 출범
12,‘실물경제 주력’ 포석? 靑 새 비서실장은 소프트웨어전문가
13,"[신년사] 조성욱 공정위원장 ""디지털 공정경제 제도 보완 마무리"""
14,"이재명, 조세연·보수언론·경제지·정치인 향해 ""공부해야"" 비난"
15,세계경제 속 한국 위상 높아졌지만···우리의 중국 의존은 심화
16,"이낙연 신년사 ""민생회복과 경제도약 최우선"""
17,"""코로나 백신 지연되면, 韓 경제 2년 연속 역성장 전망"""
18,개각·청와대 개편 '파격 속도전' 왜…경제라인은 잔류?
19,"정지원 손해보험협회장 ""디지털 경제 전환, 보험도 판매채널 변해야"""
20,"산은, 선임부행장에 최대현 임명…""저탄소 경제 선도 추진"""
21,세계 석학들의 경제 진단과 해법…KBS '코로노믹스'
22,"北 ""1월 초순 8차 당대회"" 4~7일 개최되나?..경제 집중 가능성"
23,[올해의 인물 -경제]홍남기·윤석헌·손태승
24,코로나19 타격…주름살 깊었던 전북경제
25,"동학개미 빚투, 부동산은 영끌…코로나 공포의 1년 경제결산"
26,"[신년사] 김인호 서울시의회 의장 ""완전한 방역과 경제 회복"""
27,"김종인이 본 2020년…""정부실패로 빈곤층 확대·민생경제 파탄"""
28,이낙연 “민생안정·경제도약 위해 과감한 재정 운영 필요”
29,"홍남기 ""죽은 뒤에나 멈춘다는 심정으로 경제 도약 진력"""
